run_type                          , input_file                     , CLI_Flags                                                                      , hashing_method, mod_value, bucket_size, strategy , c1 , c2  , collisions, primary_collisions, secondary_collisions, comparisons, insertions, load_factor, execution_time_sec, memory_usage_bytes, actual_input_size
scheme_1                          , LabHashingInput.txt            , --hashing division --mod 120 --bucket 1 --strategy linear                      , division      ,120,1, linear   ,    ,     ,30,19,11,90,60,0.5,0.06411,0,60
scheme_2                          , LabHashingInput.txt            , --hashing division --mod 120 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5 , division      ,120,1, quadratic,0.5,0.5,25,18,7,85,60,0.5,0.06176,1049000,60
scheme_3                          , LabHashingInput.txt            , --hashing division --mod 120 --bucket 1 --strategy chaining                    , division      ,120,1, chaining ,    ,     ,17,                   ,                     ,23,60,0.5,0.04063,0,60
scheme_4                          , LabHashingInput.txt            , --hashing division --mod 127 --bucket 1 --strategy linear                      , division      ,127,1, linear   ,    ,     ,16,10,6,76,60,0.5,0.04718,0,60
scheme_5                          , LabHashingInput.txt            , --hashing division --mod 127 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5 , division      ,127,1, quadratic,0.5,0.5,20,10,10,80,60,0.5,0.06017,1049000,60
scheme_6                          , LabHashingInput.txt            , --hashing division --mod 127 --bucket 1 --strategy chaining                    , division      ,127,1, chaining ,    ,     ,10,                   ,                     ,11,60,0.5,0.03385,0,60
scheme_7                          , LabHashingInput.txt            , --hashing division --mod 113 --bucket 1 --strategy linear                      , division      ,113,1, linear   ,    ,     ,30,17,13,90,60,0.5,0.04529,0,60
scheme_8                          , LabHashingInput.txt            , --hashing division --mod 113 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5 , division      ,113,1, quadratic,0.5,0.5,25,17,8,85,60,0.5,0.09345,1049000,60
scheme_9                          , LabHashingInput.txt            , --hashing division --mod 113 --bucket 1 --strategy chaining                    , division      ,113,1, chaining ,    ,     ,14,                   ,                     ,14,60,0.5,0.05568,0,60
scheme_10                         , LabHashingInput.txt            , --hashing division --mod 41 --bucket 3 --strategy linear                       , division      ,41,3, linear   ,    ,     ,635,36,599,695,60,0.5,0.07065,1049000,60
scheme_11                         , LabHashingInput.txt            , --hashing division --mod 41 --bucket 3 --strategy quadratic --c1 0.5 --c2 0.5  , division      ,41,3, quadratic,0.5,0.5,180,36,144,240,60,0.5,0.09894,1049000,60
scheme_12                         , LabHashingInput.txt            , --hashing custom --bucket 1 --strategy linear                                  , custom        ,          ,1, linear   ,    ,     ,27,16,11,87,60,0.5,0.05935,0,60
