scheme,strategy,hashing_method,bucket_index,key_count
1,linear,division,0,0
1,linear,division,1,0
1,linear,division,2,0
1,linear,division,3,1
1,linear,division,4,1
1,linear,division,5,0
1,linear,division,6,0
1,linear,division,7,0
1,linear,division,8,0
1,linear,division,9,0
1,linear,division,10,0
1,linear,division,11,1
1,linear,division,12,1
1,linear,division,13,1
1,linear,division,14,1
1,linear,division,15,1
1,linear,division,16,1
1,linear,division,17,0
1,linear,division,18,0
1,linear,division,19,1
1,linear,division,20,0
1,linear,division,21,1
1,linear,division,22,1
1,linear,division,23,1
1,linear,division,24,1
1,linear,division,25,1
1,linear,division,26,0
1,linear,division,27,0
1,linear,division,28,0
1,linear,division,29,1
1,linear,division,30,0
1,linear,division,31,1
1,linear,division,32,0
1,linear,division,33,0
1,linear,division,34,1
1,linear,division,35,0
1,linear,division,36,1
1,linear,division,37,1
1,linear,division,38,0
1,linear,division,39,1
1,linear,division,40,1
1,linear,division,41,1
1,linear,division,42,0
1,linear,division,43,1
1,linear,division,44,0
1,linear,division,45,1
1,linear,division,46,1
1,linear,division,47,0
1,linear,division,48,1
1,linear,division,49,0
1,linear,division,50,0
1,linear,division,51,1
1,linear,division,52,1
1,linear,division,53,0
1,linear,division,54,0
1,linear,division,55,0
1,linear,division,56,0
1,linear,division,57,0
1,linear,division,58,1
1,linear,division,59,1
1,linear,division,60,1
1,linear,division,61,1
1,linear,division,62,1
1,linear,division,63,1
1,linear,division,64,0
1,linear,division,65,1
1,linear,division,66,1
1,linear,division,67,0
1,linear,division,68,0
1,linear,division,69,0
1,linear,division,70,0
1,linear,division,71,1
1,linear,division,72,1
1,linear,division,73,1
1,linear,division,74,1
1,linear,division,75,0
1,linear,division,76,0
1,linear,division,77,1
1,linear,division,78,0
1,linear,division,79,1
1,linear,division,80,1
1,linear,division,81,1
1,linear,division,82,0
1,linear,division,83,1
1,linear,division,84,0
1,linear,division,85,0
1,linear,division,86,0
1,linear,division,87,1
1,linear,division,88,0
1,linear,division,89,0
1,linear,division,90,1
1,linear,division,91,1
1,linear,division,92,1
1,linear,division,93,1
1,linear,division,94,0
1,linear,division,95,0
1,linear,division,96,0
1,linear,division,97,0
1,linear,division,98,0
1,linear,division,99,1
1,linear,division,100,0
1,linear,division,101,1
1,linear,division,102,1
1,linear,division,103,0
1,linear,division,104,0
1,linear,division,105,0
1,linear,division,106,0
1,linear,division,107,1
1,linear,division,108,0
1,linear,division,109,0
1,linear,division,110,0
1,linear,division,111,1
1,linear,division,112,0
1,linear,division,113,1
1,linear,division,114,0
1,linear,division,115,1
1,linear,division,116,1
1,linear,division,117,0
1,linear,division,118,1
1,linear,division,119,1
2,quadratic,division,0,0
2,quadratic,division,1,0
2,quadratic,division,2,0
2,quadratic,division,3,1
2,quadratic,division,4,1
2,quadratic,division,5,0
2,quadratic,division,6,0
2,quadratic,division,7,0
2,quadratic,division,8,0
2,quadratic,division,9,0
2,quadratic,division,10,0
2,quadratic,division,11,1
2,quadratic,division,12,1
2,quadratic,division,13,1
2,quadratic,division,14,1
2,quadratic,division,15,1
2,quadratic,division,16,0
2,quadratic,division,17,1
2,quadratic,division,18,0
2,quadratic,division,19,1
2,quadratic,division,20,0
2,quadratic,division,21,1
2,quadratic,division,22,1
2,quadratic,division,23,1
2,quadratic,division,24,1
2,quadratic,division,25,1
2,quadratic,division,26,0
2,quadratic,division,27,0
2,quadratic,division,28,0
2,quadratic,division,29,1
2,quadratic,division,30,0
2,quadratic,division,31,1
2,quadratic,division,32,0
2,quadratic,division,33,0
2,quadratic,division,34,1
2,quadratic,division,35,0
2,quadratic,division,36,1
2,quadratic,division,37,1
2,quadratic,division,38,0
2,quadratic,division,39,1
2,quadratic,division,40,1
2,quadratic,division,41,1
2,quadratic,division,42,0
2,quadratic,division,43,1
2,quadratic,division,44,0
2,quadratic,division,45,1
2,quadratic,division,46,1
2,quadratic,division,47,0
2,quadratic,division,48,1
2,quadratic,division,49,0
