filename                     ,input_size, scheme, hashing_method, mod_value, bucket_size, strategy , collisions, primary_collisions, secondary_collisions, comparisons, insertions, load_factor, execution_time, memory_usage
LabHashingOutput_scheme1.txt ,70,1, division      ,120,1, linear   ,30,19,11,90,60,0.5,0.0004175,0
LabHashingOutput_scheme10.txt,70,10, division      ,41,3, linear   ,635,36,599,695,60,0.5,0.0001151,0
LabHashingOutput_scheme11.txt,70,11, division      ,41,3, quadratic,180,36,144,240,60,0.5,0.0003165,0
LabHashingOutput_scheme12.txt,70,12, custom        , N/A      ,1, linear   ,27,16,11,87,60,0.5,4.67E-05,0
LabHashingOutput_scheme13.txt,70,13, custom        , N/A      ,1, quadratic,20,15,5,80,60,0.5,2.74E-05,0
LabHashingOutput_scheme14.txt,70,14, custom        , N/A      ,1, chaining ,14,                   ,                     ,15,60,0.5,3.68E-05,0
LabHashingOutput_scheme2.txt ,70,2, division      ,120,1, quadratic,25,18,7,85,60,0.5,0.0001249,0
LabHashingOutput_scheme3.txt ,70,3, division      ,120,1, chaining ,17,                   ,                     ,23,60,0.5,7.58E-05,0
LabHashingOutput_scheme4.txt ,70,4, division      ,127,1, linear   ,16,10,6,76,60,0.5,0.0001044,0
LabHashingOutput_scheme5.txt ,70,5, division      ,127,1, quadratic,20,10,10,80,60,0.5,5.30E-05,0
LabHashingOutput_scheme6.txt ,70,6, division      ,127,1, chaining ,10,                   ,                     ,11,60,0.5,4.92E-05,0
LabHashingOutput_scheme7.txt ,70,7, division      ,113,1, linear   ,30,17,13,90,60,0.5,5.25E-05,0
LabHashingOutput_scheme8.txt ,70,8, division      ,113,1, quadratic,25,17,8,85,60,0.5,3.60E-05,0
LabHashingOutput_scheme9.txt ,70,9, division      ,113,1, chaining ,14,                   ,                     ,14,60,0.5,2.67E-05,0
scheme_10_LabHashingInput.txt,70,10, division      ,41,3, linear   ,635,36,599,695,60,0.5,0.0007649,0
scheme_10_input_108.txt      ,108,10, division      ,41,3, linear   ,3540,87,3453,3648,108,0.9,0.003346,0
scheme_10_input_120.txt      ,120,10, division      ,41,3, linear   ,4835,95,4740,4955,120,1,0.006284,0
scheme_10_input_36.txt       ,36,10, division      ,41,3, linear   ,75,15,60,111,36,0.3,0.001445,0
scheme_10_input_84.txt       ,84,10, division      ,41,3, linear   ,1976,63,1913,2060,84,0.7,0.001543,0
scheme_11_LabHashingInput.txt,70,11, division      ,41,3, quadratic,180,36,144,240,60,0.5,0.000545,0
scheme_11_input_108.txt      ,108,11, division      ,41,3, quadratic,679,85,594,787,108,0.9,0.0006938,0
scheme_11_input_120.txt      ,120,11, division      ,41,3, quadratic,1066,95,971,1185,119,0.991667,0.01552,0
scheme_11_input_36.txt       ,36,11, division      ,41,3, quadratic,48,17,31,84,36,0.3,0.0006462,0
scheme_11_input_84.txt       ,84,11, division      ,41,3, quadratic,423,63,360,507,84,0.7,0.0006907,0
scheme_12_LabHashingInput.txt,70,12, custom        , N/A      ,1, linear   ,27,16,11,87,60,0.5,0.0002309,0
scheme_12_input_108.txt      ,108,12, custom        , N/A      ,1, linear   ,223,45,178,331,108,0.9,0.001702,0
scheme_12_input_120.txt      ,120,12, custom        , N/A      ,1, linear   ,873,57,816,993,120,1,0.003997,0
scheme_12_input_36.txt       ,36,12, custom        , N/A      ,1, linear   ,1,1,0,37,36,0.3,0.0002556,0
scheme_12_input_84.txt       ,84,12, custom        , N/A      ,1, linear   ,48,23,25,132,84,0.7,0.0009491,0
scheme_13_LabHashingInput.txt,70,13, custom        , N/A      ,1, quadratic,20,15,5,80,60,0.5,0.0004725,0
scheme_13_input_108.txt      ,108,13, custom        , N/A      ,1, quadratic,159,47,112,267,108,0.9,0.0004196,0
scheme_13_input_120.txt      ,120,13, custom        , N/A      ,1, quadratic,667,58,609,785,118,0.983333,0.001641,0
