run_type,input_file,input_size,CLI_Flags,hashing_method,mod_value,bucket_size,strategy,c1,c2,collisions,primary_collisions,secondary_collisions,comparisons,insertions,load_factor,execution_time_sec,memory_usage_bytes,input_type
scheme_1,LabHashingInput.txt,70,--hashing division --mod 120 --bucket 1 --strategy linear,division,120.0,1,linear,,,30.0,19.0,11.0,90.0,60.0,0.5,0.001604,0,normal
scheme_2,LabHashingInput.txt,70,--hashing division --mod 120 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5,division,120.0,1,quadratic,0.5,0.5,25.0,18.0,7.0,85.0,60.0,0.5,0.000297,0,normal
scheme_3,LabHashingInput.txt,70,--hashing division --mod 120 --bucket 1 --strategy chaining,division,120.0,1,chaining,,,17.0,,,23.0,60.0,0.5,0.000762,0,normal
scheme_4,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 1 --strategy linear,division,127.0,1,linear,,,16.0,10.0,6.0,76.0,60.0,0.5,0.000456,0,normal
scheme_5,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5,division,127.0,1,quadratic,0.5,0.5,20.0,10.0,10.0,80.0,60.0,0.5,0.0002824,0,normal
scheme_6,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 1 --strategy chaining,division,127.0,1,chaining,,,10.0,,,11.0,60.0,0.5,0.001354,0,normal
scheme_7,LabHashingInput.txt,70,--hashing division --mod 113 --bucket 1 --strategy linear,division,113.0,1,linear,,,30.0,17.0,13.0,90.0,60.0,0.5,0.0005987,0,normal
scheme_8,LabHashingInput.txt,70,--hashing division --mod 113 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5,division,113.0,1,quadratic,0.5,0.5,25.0,17.0,8.0,85.0,60.0,0.5,0.0004034,0,normal
scheme_9,LabHashingInput.txt,70,--hashing division --mod 113 --bucket 1 --strategy chaining,division,113.0,1,chaining,,,14.0,,,14.0,60.0,0.5,0.000421,0,normal
scheme_10,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 3 --strategy linear,division,41.0,3,linear,,,635.0,36.0,599.0,695.0,60.0,0.5,0.001103,0,normal
scheme_11,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 3 --strategy quadratic --c1 0.5 --c2 0.5,division,41.0,3,quadratic,0.5,0.5,180.0,36.0,144.0,240.0,60.0,0.5,0.0002931,0,normal
scheme_12,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy linear,custom,,1,linear,,,27.0,16.0,11.0,87.0,60.0,0.5,0.000629,0,normal
scheme_13,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5,custom,,1,quadratic,0.5,0.5,20.0,15.0,5.0,80.0,60.0,0.5,0.0006807,0,normal
scheme_14,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy chaining,custom,,1,chaining,,,14.0,,,15.0,60.0,0.5,0.0002868,0,normal
manual_div113_linear_b1,LabHashingInput.txt,70,--hashing division --mod 113 --bucket 1 --strategy linear,division,113.0,1,linear,,,30.0,17.0,13.0,90.0,60.0,0.5,0.0004039,0,normal
